SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,MidPeriod,AgeGrp,PopMale,PopFemale,PopTotal
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1959,1959,45-49,14972.946,14488.226,29461.172
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1959,1959,50-54,12900.22,13170.938,26071.158
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1959,1959,55-59,10498.426,10960.949,21459.375
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1959,1959,60-64,7931.199,8634.694,16565.893
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1959,1959,65-69,5473.678,6578.246,12051.924
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1959,1959,70-74,3349.162,4511.814,7860.976
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1959,1959,75-79,1678.054,2682.524,4360.578
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1959,1959,80-84,605.891,1095.744,1701.635
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1959,1959,85-89,192.61,369.748,562.358
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1959,1959,90-94,35.758,87.761,123.519
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1959,1959,95+,3.022,11.703,14.725
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1960,1960,25-29,25782.034,23159.222,48941.256
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1960,1960,30-34,22221.127,20401.204,42622.331
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1960,1960,35-39,19625.793,18521.216,38147.009
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1960,1960,40-44,17031.542,16433.839,33465.381
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1960,1960,45-49,15208.183,14655.139,29863.322
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1960,1960,50-54,12950.446,13257.803,26208.249
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1960,1960,55-59,10707.053,11293.254,22000.307
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1960,1960,60-64,7788.264,8537.945,16326.209
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1960,1960,65-69,5412.238,6586.483,11998.721
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1960,1960,70-74,3307.729,4484.037,7791.766
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1960,1960,75-79,1625.293,2625.578,4250.871
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1960,1960,80-84,570.999,1056.672,1627.671
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1960,1960,85-89,175.802,347.323,523.125
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1960,1960,90-94,32.263,78.676,110.939
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1960,1960,95+,2.567,10.228,12.795
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1961,1961,25-29,26082.135,23496.66,49578.795
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1961,1961,30-34,22594.47,20666.036,43260.506
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1961,1961,35-39,19893.573,18740.655,38634.228
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1961,1961,40-44,17132.183,16561.709,33693.892
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1961,1961,45-49,15334.881,14819.514,30154.395
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1961,1961,50-54,12869.502,13159.807,26029.309
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1961,1961,55-59,10742.639,11457.665,22200.304
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1961,1961,60-64,7677.233,8513.204,16190.437
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1961,1961,65-69,5348.918,6578.724,11927.642
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1961,1961,70-74,3151.557,4337.541,7489.098
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1961,1961,75-79,1518.253,2489.716,4007.969
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1961,1961,80-84,543.973,1035.896,1579.869
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1961,1961,85-89,156.721,321.994,478.715
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1961,1961,90-94,27.815,68.08,95.895
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1961,1961,95+,2.11,8.663,10.773
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1962,1962,25-29,26578.806,23900.935,50479.741
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1962,1962,30-34,23040.117,21007.517,44047.634
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1962,1962,35-39,20074.43,18848.145,38922.575
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1962,1962,40-44,17323.185,16695.035,34018.22
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1962,1962,45-49,15547.954,15129.713,30677.667
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1962,1962,50-54,12843.709,13062.143,25905.852
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1962,1962,55-59,10780.789,11584.805,22365.594
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1962,1962,60-64,7759.33,8695.857,16455.187
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1962,1962,65-69,5332.65,6600.045,11932.695
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1962,1962,70-74,3072.096,4281.287,7353.383
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1962,1962,75-79,1469.406,2422.227,3891.633
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1962,1962,80-84,535.799,1043.611,1579.41
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1962,1962,85-89,143.589,305.385,448.974
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1962,1962,90-94,24.766,61.049,85.815
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1962,1962,95+,1.748,7.482,9.23
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1963,1963,25-29,26891.403,24019.486,50910.889
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1963,1963,30-34,23555.298,21431.251,44986.549
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1963,1963,35-39,20521.631,19166.27,39687.901
